,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
0,44077,0,4,5,9,9,1,1,4,0,61,0,0,0,0,0,0,0,2,0,5,5258.614042252739,5311.260587512383,5361.9765494060175,6151.9064351702755,6556.557064354662,9939.084679125119
1,85156,0,7,6,8,18,1,1,4,0,64,1,0,0,0,1,0,1,3,0,5,5253.646428013702,5278.664647158981,5322.302065833716,6133.2299227495605,6563.970467161179,9897.078837948899
2,159889,1,3,1,15,1,0,1,9,0,29,1,0,0,0,4,0,0,0,0,4,3511.2139672580506,4748.403693594708,5311.974637587755,5599.852937116882,4426.8246611858785,5332.200426899384
3,162809,0,4,4,8,8,1,0,6,0,60,1,0,1,0,2,0,0,2,0,2,7516.287202612258,7671.6069658756,7980.895966962206,8732.7990049088,7379.306507714316,11261.609921200958
4,165828,1,14,8,9,6,1,1,8,0,18,0,0,0,0,4,0,0,0,0,2,1051.495544878467,2508.236514959942,3100.4944714305043,3816.7478994197572,2364.76234341752,7652.664332426216
5,165829,1,14,8,9,6,1,1,8,0,18,0,0,0,0,4,0,0,0,0,2,1051.495544878467,2508.236514959942,3100.4944714305043,3816.7478994197572,2364.76234341752,7652.664332426216
6,178860,1,68,94,54,82,5,13,13,16,46,5,4,0,6,3,0,5,1,0,6,832.928327058677,959.2260926662426,1228.0541143762973,1833.5874201968065,2273.4706089897745,6229.61064274999
7,237465,1,4,4,7,3,1,0,18,0,17,1,0,0,0,2,0,0,4,0,6,7153.16702843019,7356.876978485934,8010.189796145573,8480.981726428736,5211.027183087008,6869.090495905305
8,245893,0,1,1,3,1,0,0,0,0,14,1,0,0,0,1,0,0,0,0,6,7097.0466389537,8616.721630287599,9261.269265752091,9783.38191006116,8265.969420259564,12739.073877130106
9,245903,0,1,1,3,1,0,0,0,0,16,1,0,0,0,1,0,0,0,0,6,7195.501294997928,8712.867919401573,9343.281087042726,9870.577775344927,8349.961714254061,12778.43808070949
10,292757,1,2,2,1,2,0,0,6,0,12,0,0,0,0,0,0,0,0,0,2,4047.896241853085,4688.841275312993,5151.352488649602,5998.594148584499,4538.614619340804,8353.720773632776
11,302554,1,18,12,18,12,1,1,21,3,32,0,0,0,0,2,0,1,0,0,3,1337.3169699605571,1679.3028642222434,1887.9059292352138,2346.3411213606632,1088.0364665656523,5528.701356597264
12,302634,1,18,12,18,12,1,1,21,3,32,0,0,0,0,2,0,1,0,0,3,1337.3169699605571,1679.3028642222434,1887.9059292352138,2346.3411213606632,1088.0364665656523,5528.701356597264
13,315698,1,18,16,6,17,1,3,31,10,43,2,0,1,0,2,0,2,0,0,5,1589.7373357787492,1790.9170656994593,2073.113201371817,3038.35261774522,2613.2690569371575,5616.529347086604
14,374792,1,14,8,9,6,1,1,8,0,18,0,0,0,0,4,0,0,0,0,2,1051.495544878467,2508.236514959942,3100.4944714305043,3816.7478994197572,2364.76234341752,7652.664332426216
15,386860,1,112,116,66,128,7,15,5,16,47,7,4,1,4,4,0,9,1,0,10,131.48052173076138,891.2377411398382,1129.4668353179202,1525.0040896708515,1513.0472755748303,5930.049682669834
16,393631,1,32,24,35,12,1,5,56,0,49,2,0,0,0,6,0,3,0,1,8,1123.7366835519326,1915.3448425870874,1931.5035021151837,2585.9775671612815,3547.950433640358,5052.592112942811
17,419987,1,18,11,18,12,1,1,21,3,30,0,0,0,0,2,0,1,0,0,3,1355.704112427532,1684.807249694376,1898.0733912060753,2360.9691838871963,1087.8513576990722,5539.762107479552
18,420297,0,5,5,9,11,1,1,4,0,71,0,0,0,0,0,0,0,3,0,5,5449.750451292009,5512.610245722681,5564.193355709517,6346.165932084005,6739.449765580274,10126.212827922283
19,424596,1,96,89,69,61,3,20,87,22,50,7,7,2,1,4,0,16,4,1,22,1053.6203094734556,1167.3046692368723,1273.1884497653516,1889.543955838637,2445.6375944212523,5122.335855933312
20,426326,1,3,1,15,1,0,1,9,0,29,1,0,0,0,4,0,0,0,0,4,3511.2139672580506,4748.403693594708,5311.974637587755,5599.852937116882,4426.8246611858785,5332.200426899384
21,427077,1,94,88,67,61,3,19,83,21,48,6,7,2,1,3,0,16,3,1,22,1065.9871228563343,1187.1864692467125,1292.934927788872,1903.7871646138162,2457.144712643772,5119.104604664983
22,427495,1,3,1,15,1,0,1,9,0,29,1,0,0,0,4,0,0,0,0,4,3511.2139672580506,4748.403693594708,5311.974637587755,5599.852937116882,4426.8246611858785,5332.200426899384
23,449556,0,4,6,2,3,0,1,18,0,35,1,0,0,0,0,0,0,0,1,0,6883.948924839326,8797.613416043218,9283.84926006101,9467.684335503098,1011.6854957743433,6585.269184912316
24,454183,1,10,11,11,7,1,0,29,6,27,2,0,0,0,1,0,1,0,1,4,1473.8021078960737,1504.2193128800814,1507.955435322021,2461.471850176901,805.8394486508647,5756.710428061187
25,468082,0,5,5,8,5,1,0,6,0,26,1,0,0,0,1,0,0,1,1,2,9540.93510354553,11048.242213231393,11632.125854438525,12167.030117158336,10648.975920281253,14776.20215160962
