index,id,count,brightness,contrast,no_img_bathroom,no_img_bedroom,no_img_dining,no_img_hallway,no_img_kitchen,no_img_living,no_img_others
0,10006474,6,153.52723948160806,0.9354504936160576,1,1,1,0,1,2,0
1,10007446,6,111.89836120605469,0.9423821343269378,1,2,1,0,1,0,1
2,10027351,8,130.4553165435791,0.9429990271158369,2,2,0,1,1,1,1
3,10048879,5,112.64136352539063,0.9890989785992218,0,2,0,0,1,1,1
4,10069364,9,124.89257134331598,0.9818801580315402,2,1,1,0,1,1,3
5,10098485,13,122.82910391000601,0.9828324738464349,2,6,0,0,2,0,3
6,10110863,13,124.1663067157452,0.972341841858924,5,3,1,0,2,1,1
7,10115073,2,124.34249114990234,0.9223927823149614,0,0,0,0,1,1,0
8,10128292,22,144.718881780451,0.9721258625385769,1,4,0,1,6,7,3
9,10131392,2,123.29523468017578,1.0,0,2,0,0,0,0,0
10,10134641,6,106.95965321858723,0.9947659743186746,0,1,0,0,1,3,1
11,10146203,40,173.62645416259767,0.9220544129168443,7,15,5,1,3,7,2
12,10194256,5,87.50458068847657,1.0,1,1,0,0,1,2,0
13,10207081,23,119.74180403999661,0.978800178447338,5,5,0,1,4,5,3
14,10219889,9,133.18137783474393,0.9459394286940035,1,0,1,2,3,0,2
15,10249544,2,105.35472869873047,0.99609375,1,0,1,0,0,0,0
16,10259932,14,119.7909665788923,0.9916791535229932,2,2,0,0,2,5,3
17,10265954,18,171.85759989420572,0.9469665914069919,3,7,1,2,2,1,2
18,10327163,5,117.61897888183594,0.9842990208943867,1,0,0,1,2,1,0
19,10350171,13,130.64974036583533,0.9834730344593404,0,2,0,0,1,4,6
20,10355640,6,120.06189982096355,0.8654660390308938,1,2,0,0,1,1,1
21,10365390,7,115.22517613002232,0.971464291012763,0,3,1,0,0,1,2
22,10404636,14,104.47933415004185,0.9263489684217893,2,2,0,0,3,4,3
23,10409581,1,89.84719848632812,0.9921875,0,1,0,0,0,0,0
24,10410110,14,110.78628758021763,0.9552760805974152,2,4,1,0,3,2,2
25,10410661,13,110.09196002666766,0.9385382640432474,2,3,1,0,2,2,3
26,10433007,27,149.64524219654226,0.9669165767473697,7,7,1,0,5,4,3
27,10509188,24,126.75174268086751,0.9530833961923011,5,10,1,2,2,1,3
28,10513280,38,157.50219686407792,0.9456836014647111,3,13,2,1,2,3,14
29,10521517,9,101.74988640679254,0.9762910202967574,1,7,0,0,0,0,1
30,10531222,8,140.6552391052246,0.9681015630278236,1,1,1,0,2,2,1
31,10572695,11,122.34880898215555,0.9872566326088562,1,2,0,0,0,3,5
32,10582874,25,142.2047589111328,0.9914569137985066,1,7,0,0,5,6,6
33,10585555,31,111.32585931593373,0.9763036397236761,2,12,0,3,2,4,8
34,10597886,41,127.82802786478182,0.9786599442248833,6,15,1,4,8,2,5
35,10600660,42,142.253053574335,0.9649696048934341,8,12,2,0,3,7,10
36,10617389,6,126.61024475097656,0.9881956554548522,0,0,0,1,1,3,1
37,10676358,72,137.88496462504068,0.9777517418693277,4,15,1,5,8,4,35
38,10691248,16,122.36324691772461,0.9439559101103292,2,4,1,1,2,6,0
39,10703188,6,137.5175755818685,0.9885001138602588,0,4,0,0,1,1,0
40,10703610,15,121.6714874267578,0.973835200830397,1,8,0,2,1,1,2
41,10715719,10,111.3712661743164,0.9508299788536073,2,1,1,0,2,2,2
42,10724235,13,119.76807579627403,0.9721934252625217,2,4,0,0,0,0,7
43,10728163,19,149.75203744988693,0.9851525962323152,3,5,3,0,1,3,4
44,1073487,10,114.83592987060547,0.9945674469111969,1,2,0,1,1,3,2
45,10758548,7,110.36347961425781,0.9458196396175733,0,2,0,0,1,2,2
46,10761136,9,100.69058227539062,0.9710128702003694,0,1,0,0,4,2,2
47,1076634,10,108.48099365234376,0.9778231676101656,1,3,0,0,1,2,3
48,10780210,1,82.53425598144531,0.9615384615384616,0,1,0,0,0,0,0
49,10781131,48,135.90567874908447,0.9680557790540206,4,20,2,2,6,5,9
50,10818556,6,121.73600514729817,0.986989299610895,2,1,0,1,1,1,0
51,10824761,34,137.69720862893496,0.9840232012825832,8,9,2,1,2,3,9
52,1086416,21,126.13526916503906,0.9675775956599291,3,5,2,0,5,4,2
53,10881092,21,149.26446751185827,0.9689667561111713,2,5,0,0,7,7,0
54,10883005,35,145.08728986467634,0.9723047720363632,3,9,6,2,3,2,10
55,10894501,5,86.48245544433594,0.9892420977011493,0,1,0,0,0,2,2
56,10907846,9,136.91165669759116,0.9965277777777778,2,2,1,0,1,3,0
57,10908028,21,169.5190960112072,0.9827196598684089,2,5,0,1,1,7,5
58,10916487,11,113.37652449174361,0.9488837135370516,1,3,0,1,3,0,3
59,10945353,9,147.79808553059897,0.9580706703419268,2,2,0,0,1,3,1
60,10956408,7,103.92043195452008,0.9760947067519707,0,3,1,0,0,2,1
61,10959386,33,125.94452875310725,0.9671495175347409,1,9,1,0,4,6,12
62,10961041,6,103.03232320149739,0.9755908357478195,0,2,0,0,1,2,1
63,10963898,7,107.8575439453125,0.9760415201325446,0,2,0,1,1,0,3
64,10964495,17,141.89923005945542,0.9736207299173318,0,5,0,0,10,0,2
65,10976284,26,128.58849099966196,0.964754195379316,1,8,5,1,3,6,2
66,10978447,39,130.16961787297174,0.9629028175453164,3,5,1,0,2,3,25
67,10983874,11,102.38291237571023,1.0,2,2,0,1,2,3,1
68,10987796,9,120.57503424750433,0.9828299737517455,0,1,0,0,1,3,4
69,10991162,39,97.42772302872095,0.9701543377548856,5,12,1,0,4,13,4
70,11008133,15,117.69791158040364,0.9866779995173958,1,3,2,1,1,1,6
71,11013301,31,122.2388679750504,0.9541514793806436,4,9,0,5,9,2,2
72,11035020,9,104.1939697265625,0.969187437531476,1,1,0,0,1,4,2
73,11041254,25,185.75442626953125,0.9698195398720835,1,13,1,0,4,1,5
74,11056503,10,119.25544738769531,0.9757229565769666,1,1,1,1,0,0,6
75,11056980,16,102.11864757537842,0.9783617326273283,0,4,2,0,0,6,4
76,11064371,9,112.9781002468533,0.9469193257379938,2,2,1,1,1,1,1
77,11066052,8,126.13926696777344,0.929041417517712,0,4,0,0,1,1,2
78,11074551,1,106.67674255371094,0.9921875,0,0,0,0,1,0,0
79,11080303,22,119.86710773814808,0.973297884901926,1,5,3,0,1,1,11
80,11119407,10,123.04748229980468,0.9953725961538462,1,1,0,1,2,3,2
81,11122611,8,175.52739143371582,1.0,0,1,1,1,2,1,2
82,11131579,11,114.5577323219993,0.9746764392913135,2,1,1,0,0,0,7
83,11131679,5,91.080126953125,0.99375,0,1,0,0,1,3,0
84,11132012,11,163.68918124112216,0.9203286041109315,2,3,1,0,1,2,2
85,11134872,14,111.96925789969308,0.9590354567335945,2,4,2,1,0,3,2
86,11137294,7,133.37930951799666,0.9921694735482524,0,2,0,0,1,1,3
87,11138404,18,158.5395965576172,0.96099790541721,1,1,0,1,1,6,8
88,11160926,6,111.98028310139973,0.9623306756951466,2,1,0,0,1,1,1
89,11201562,56,146.63415336608887,0.9799229052953276,5,18,1,0,7,11,14
90,11207312,16,123.00902938842773,0.9540760774425622,3,4,1,0,2,2,4
91,11211533,34,123.5226821899414,0.9770076221504728,3,8,2,0,8,1,12
92,11216939,8,96.30001449584961,0.9810068112800421,0,2,1,1,1,1,2
93,11218236,7,113.56544494628906,0.9977678571428571,1,2,0,0,3,1,0
94,11233281,2,86.66386413574219,1.0,0,1,0,0,0,1,0
95,11234613,22,118.86620538884944,0.9409465118244068,4,7,0,6,3,2,0
96,11235665,11,182.95749456232244,0.9608797649010126,2,3,1,0,1,2,2
97,11236425,10,187.84083862304686,0.9813716151098673,1,2,2,0,2,2,1
98,11236587,13,176.333741408128,0.9327581672124917,2,2,0,1,1,1,6
99,11238793,8,130.10068321228027,0.972254872884679,1,1,1,0,2,2,1
100,11248447,6,118.33196258544922,0.964766987550878,1,2,0,0,0,2,1
101,11249898,16,133.5125608444214,0.9898135337489515,2,1,3,1,2,1,6
102,11255072,11,113.89367259632458,0.987289925292465,1,1,0,2,2,0,5
103,11269403,17,187.57867790670957,0.8967367626661037,3,7,0,2,2,1,2
104,11276216,2,158.02239990234375,0.9056250584968646,1,0,0,0,0,0,1
105,11278756,15,129.00322367350262,0.9789220327923062,2,2,1,0,3,0,7
106,11292638,13,181.1284895676833,0.9120006468624215,2,3,2,2,1,1,2
107,11292748,11,181.44687167080966,0.8798258399782238,2,3,1,1,1,2,1
108,11298173,12,117.98805491129558,0.9676586185096251,1,4,0,0,1,2,4
109,11299001,23,161.32422206712806,0.9514872324904581,3,5,1,1,5,2,6
110,11299538,32,135.01316261291504,0.9644082841236803,5,6,0,5,4,1,11
111,11300853,8,128.17548942565918,0.9921404548298198,1,2,0,0,1,1,3
112,11310913,67,172.42172172888002,0.9522515011243331,6,22,10,0,5,9,15
113,11348838,2,118.62818145751953,0.9573341779024522,1,1,0,0,0,0,0
114,11366798,23,89.88560087784477,0.9932009434908239,4,6,3,1,2,5,2
