,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
0,97945,1,4,5,4,14,3,0,41,0,28,1,0,0,0,1,0,0,0,1,8,4817.178204442448,4926.335380892111,6753.155096749801,7843.019265475346,5738.708059588324,16400.457581691542
1,114695,1,6,2,5,8,1,0,38,3,35,2,0,0,0,3,0,0,0,1,4,4904.427688938124,4933.053134271214,4935.384591726682,6952.242090719623,6445.24762936187,14599.199369875905
2,127383,1,50,89,67,167,13,35,72,11,85,9,1,5,0,7,0,7,0,1,27,562.6012094883724,1561.0541337623947,1857.2287399095444,2920.6313393089217,1404.5973603090376,10867.08298679386
3,159634,1,5,3,10,18,1,0,42,0,43,0,0,0,0,4,0,1,1,1,5,3544.267515656275,6270.811173993549,7125.638105561378,8315.224209830149,6736.111964701103,16272.717238508301
4,170154,1,11,5,10,22,1,1,48,1,60,1,0,0,0,3,0,0,0,1,13,3059.1586125420476,4659.530711314588,4801.161983221661,6530.469445597414,4215.922525192334,15357.844838461688
5,170815,1,10,12,6,47,0,2,44,4,52,2,0,0,0,4,0,6,0,1,10,1041.8953548050831,2155.388153641231,2427.667890974708,3618.646387117876,2256.6532486708393,11002.874986512858
6,172672,1,13,26,18,81,3,3,71,7,96,2,0,1,0,7,0,1,0,1,17,1156.1171440153441,1538.657982361322,1745.996630216679,3242.0983607043236,1859.979648701278,10523.60725187681
7,179640,1,2,4,5,16,0,0,49,0,57,1,0,0,0,0,0,0,0,1,3,3244.8313751418154,4434.18094141372,4671.7124888255885,5993.391589702375,6070.91591668596,13103.76156222733
8,183634,1,0,1,0,0,0,0,11,0,22,0,0,0,0,0,3,0,0,0,0,4715.562162643943,7848.574502587418,8465.9364117118,9878.390961574803,8213.165253168927,16587.403973284505
9,186596,1,39,46,18,71,1,0,73,4,61,4,0,0,0,9,0,4,0,1,18,1700.2551429508144,1821.9280707101766,1887.493360127956,4501.131155079887,2773.619256768493,13361.748247327474
10,187359,1,10,21,15,109,1,0,61,5,39,5,0,1,0,3,0,7,0,1,21,1599.8357978517652,2449.6788750418204,2690.406977883259,3699.4969793349846,2151.188042980861,11278.494745774266
11,187386,1,10,2,5,9,1,0,38,3,80,1,0,0,0,5,0,0,0,1,7,4255.602622343867,4274.215819270389,4290.599694140441,6437.904919022335,5789.567326704586,14343.760784576483
12,189551,1,38,39,39,85,2,1,108,3,53,5,0,0,2,9,0,3,1,1,16,637.4909647959267,2287.9591037784203,2355.632332035258,3774.96736453631,1042.7985767609753,12122.2770921206
13,189582,1,3,2,2,7,0,0,30,0,42,1,0,0,0,0,0,0,0,1,2,3335.4874202136953,5498.075019517345,5817.12110398322,6632.526494524113,7093.9912203525055,13024.46211916062
14,189606,1,61,61,37,123,1,2,83,5,34,5,0,5,0,6,0,8,0,1,22,1169.013852572872,1267.6180958769985,1332.7238379735436,4029.931795843545,2471.437291652227,12880.352040270349
15,190383,1,6,3,8,11,2,1,55,2,81,3,0,0,0,6,2,0,0,1,12,4371.767614165752,4399.894104518804,4407.776321254421,6420.571782211009,5914.135594056059,14167.076820279011
16,190529,1,80,72,54,166,5,7,63,6,63,10,1,7,5,12,1,11,0,1,31,845.5357930509326,1230.595431017088,1362.1723016074707,3625.986632096941,1244.549007795997,12342.359477153515
17,190564,1,80,72,54,166,5,7,63,6,63,10,1,7,5,12,1,11,0,1,31,845.5357930509326,1230.595431017088,1362.1723016074707,3625.986632096941,1244.549007795997,12342.359477153515
