,id,english_writing_host,compound_descr,negativity_descr,neutrality_descr,positivity_descr,compound_neigh_over,negativity_neigh_over,neutrality_neigh_over,positivity_neigh_over,compound_host_ab,negativity_host_ab,neutrality_host_ab,positivity_host_ab
0,97945,1,0.8805,0.0,0.93,0.07,0.552,0.0,0.855,0.145,0.8122,0.0,0.67,0.33
1,114695,1,0.5423,0.013,0.952,0.035,0.0,0.0,1.0,0.0,0.8658,0.0,0.749,0.251
2,127383,1,0.9459,0.0,0.901,0.099,0.0,0.0,1.0,0.0,0.7777,0.0,0.639,0.361
3,159634,1,0.9559,0.0,0.892,0.108,0.0,0.0,1.0,0.0,0.7717,0.0,0.839,0.161
4,170154,1,0.9396,0.0,0.885,0.115,0.0,0.0,1.0,0.0,0.9732,0.0,0.619,0.381
5,170815,1,-0.335,0.079,0.85,0.071,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6,172672,1,0.9766,0.012,0.83,0.158,0.2732,0.0,0.905,0.095,0.2023,0.0,0.976,0.024
7,179640,1,0.9744,0.009,0.85,0.141,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,183634,0,0.8759,0.0,0.913,0.087,0.0,0.0,1.0,0.0,0.8478,0.0,0.566,0.434
9,186596,1,0.9236,0.04,0.832,0.128,0.0,0.0,1.0,0.0,0.8932,0.0,0.627,0.373
10,187359,1,0.9538,0.0,0.892,0.108,0.7906,0.0,0.708,0.292,0.9828,0.0,0.688,0.312
11,187386,1,0.7644,0.0,0.929,0.071,0.0,0.0,1.0,0.0,0.8567,0.0,0.463,0.537
12,189551,1,0.9625,0.0,0.863,0.137,0.0,0.0,1.0,0.0,0.8934,0.0,0.732,0.268
13,189582,1,0.9569,0.0,0.89,0.11,0.0,0.0,1.0,0.0,0.9501,0.0,0.669,0.331
14,189606,1,0.9517,0.0,0.88,0.12,0.0,0.0,1.0,0.0,0.7184,0.0,0.4,0.6
15,190383,1,0.9168,0.024,0.864,0.112,0.0,0.0,1.0,0.0,0.7177,0.0,0.75,0.25
16,190529,1,0.9022,0.013,0.894,0.092,0.0,0.0,1.0,0.0,0.7568,0.0,0.724,0.276
17,190564,1,0.908,0.013,0.893,0.094,0.0,0.0,1.0,0.0,0.7568,0.0,0.724,0.276
18,190565,1,0.908,0.013,0.892,0.095,0.0,0.0,1.0,0.0,0.7568,0.0,0.724,0.276
19,190653,1,0.25,0.014,0.961,0.026,0.0,0.0,1.0,0.0,0.7568,0.0,0.724,0.276
20,191405,1,0.7906,0.0,0.955,0.045,0.9109,0.0,0.788,0.212,0.9812,0.0,0.673,0.327
21,192933,1,0.7089,0.0,0.965,0.035,0.0,0.0,1.0,0.0,0.8398,0.0,0.667,0.333
22,193463,1,0.7534,0.062,0.813,0.125,0.9136,0.0,0.778,0.222,0.8398,0.0,0.908,0.092
23,193477,1,0.9844,0.0,0.792,0.208,0.4939,0.0,0.868,0.132,0.8398,0.0,0.908,0.092
24,195293,1,0.6444,0.0,0.967,0.033,0.2732,0.0,0.826,0.174,0.9927,0.007,0.777,0.216
25,195302,1,0.8996,0.013,0.896,0.09,0.0,0.0,1.0,0.0,0.9501,0.0,0.768,0.232
26,195337,1,0.8439,0.0,0.786,0.214,0.0,0.0,1.0,0.0,0.9501,0.0,0.768,0.232
27,195371,1,0.6124,0.036,0.861,0.103,0.0,0.0,1.0,0.0,0.8934,0.0,0.883,0.117
28,195388,1,0.8689,0.03,0.884,0.087,0.0,0.0,1.0,0.0,0.7717,0.0,0.642,0.358
29,195444,1,0.9559,0.006,0.872,0.121,0.0,0.0,1.0,0.0,0.2942,0.0,0.958,0.042
30,195452,1,0.9959,0.0,0.721,0.279,0.0,0.0,1.0,0.0,0.2942,0.0,0.958,0.042
31,196127,1,0.981,0.0,0.811,0.189,0.0,0.0,1.0,0.0,0.9438,0.0,0.821,0.179
32,196265,1,0.8479,0.032,0.819,0.149,0.0,0.0,1.0,0.0,0.8374,0.0,0.827,0.173
33,198942,1,0.9905,0.0,0.776,0.224,0.4588,0.0,0.692,0.308,0.9836,0.0,0.666,0.334
34,198990,0,0.9371,0.01,0.86,0.13,0.8357,0.037,0.793,0.17,0.7096,0.0,0.772,0.228
35,199066,1,0.5859,0.053,0.867,0.08,0.0,0.0,1.0,0.0,0.802,0.0,0.737,0.263
