id,no_img_bathroom,no_img_bedroom,no_img_dining,no_img_hallway,no_img_kitchen,no_img_living,no_img_others,count,brightness,contrast
10010825,6,6,0,0,2,4,4,22,120.20661233752813,0.9992897727272727
10044204,1,6,0,1,3,3,4,18,159.9667472736115,0.9995659722222222
10044722,3,2,0,2,1,1,3,12,153.0288888888889,0.944605143799922
10066188,2,1,2,2,2,2,10,21,134.92843274658284,0.9962905426852295
10104959,1,0,0,1,0,0,0,2,109.68549212658382,1.0
10182024,4,7,0,1,1,1,0,14,109.8876238586677,1.0
10213696,5,0,0,0,1,4,0,10,135.1348536522634,0.99921875
10249663,2,3,0,0,0,0,3,8,113.44888617621527,0.984251968503937
10293145,4,4,0,0,3,0,3,14,155.712577252565,0.9952181709503886
10347533,0,3,0,0,1,1,0,5,108.35788031661619,0.9592683435967018
10356347,4,2,0,0,3,2,1,12,124.43464525844485,0.9905660377358491
10383452,6,12,1,3,2,10,5,39,134.01348876308117,0.9962798673952165
1040420,8,24,2,1,5,5,1,46,133.4894532573156,0.9948299299200667
10428117,2,2,0,0,2,2,0,8,111.5316340543017,0.9990234375
1053919,8,9,3,1,3,3,5,32,153.6613775102887,0.99951171875
10554035,2,6,0,0,0,0,3,11,94.43718254594556,0.9992841803865425
1057272,1,4,0,0,2,1,1,9,141.0671971986454,0.9948386407530376
10591062,3,4,0,1,1,7,2,18,149.91543691310991,1.0
10607607,3,7,0,0,2,0,1,13,166.82388097171955,0.9756755910370204
1064368,3,1,1,0,0,2,0,7,127.78739346985147,0.9432919926730255
10657248,2,2,0,1,3,1,0,9,136.20507615752246,0.9982638888888888
10680505,2,4,0,3,3,2,1,15,138.54249207822517,0.9815058323793672
10688793,1,4,0,0,2,3,2,12,135.152527583845,0.9974109738372093
1071257,2,3,0,0,1,3,10,19,111.69648121074292,0.9995888157894737
10760804,1,0,0,0,1,0,0,2,134.05600823045268,1.0
10765999,2,4,0,0,2,2,2,12,156.5919200906636,0.971677559912854
10843348,5,2,0,0,2,1,2,12,129.29678689644828,0.9915542323066086
10858442,10,29,0,0,13,9,1,62,153.22571231828704,0.9911261420790759
10962735,1,1,1,0,2,0,0,5,159.65274456661524,1.0
11015816,12,14,3,2,1,2,11,45,157.9490041158958,0.9890376650265198
11041582,0,0,0,0,0,2,0,2,115.17889312869727,0.99609375
11101904,2,1,0,0,1,4,9,17,110.90875819543979,0.9833630421865716
11138913,1,4,0,1,5,5,5,21,135.42733388294877,0.9996279761904762
11184931,2,2,0,0,1,0,1,6,138.82339364676574,1.0
11199095,2,7,1,0,3,2,2,17,129.44989397996852,0.9995404411764706
1123061,2,6,0,0,2,11,0,21,133.72048753346274,0.9992441421012851
1125755,2,4,0,0,1,1,0,8,120.22867218668877,0.9980391855314961
11299203,2,3,0,0,2,2,0,9,116.94725422953817,0.9965243736383442
11309100,4,9,1,0,3,6,1,24,138.78128468873243,0.9940239043824701
1132304,4,5,0,0,3,3,3,18,123.0191632373114,0.9886244800909273
11364373,1,3,0,0,3,0,1,8,102.54099061596449,1.0
11366297,9,11,0,0,0,0,0,20,120.57543553864461,0.991303676255575
11384785,2,1,0,0,3,2,2,10,113.41057500643004,0.9901528668563438
11385966,2,3,0,1,2,3,0,11,133.91429829740304,1.0
114695,6,5,2,0,3,2,5,23,159.3712702121859,1.0
11504553,5,4,0,0,2,3,5,19,165.8275880750781,0.9865325153167648
11547958,1,5,0,1,0,3,1,11,119.47584210157127,0.9943457100070472
1158720,4,2,0,0,6,3,9,24,129.42543988689712,0.9996744791666666
11600537,2,8,0,2,1,0,2,15,146.05184457518865,0.9984311780116887
11614446,1,1,0,0,1,1,1,5,128.84082459957958,1.0
11655429,1,4,0,0,2,1,17,25,107.48769265707303,0.9965673638132295
11656738,1,4,0,0,3,1,19,28,107.70839745587922,0.9969300088500177
11669266,7,14,2,2,1,3,12,41,154.73702598489209,0.9879397593370199
11710685,1,3,0,2,3,7,2,18,161.2896052411145,0.9995659722222222
11728967,3,3,1,1,2,3,1,14,128.84398871240722,1.0
11810642,1,2,2,2,3,2,5,17,139.63626647579628,0.9963624564237546
11831309,1,4,0,0,0,3,8,16,135.6465332688943,0.99951171875
11905650,3,5,0,2,4,0,2,16,179.06018734039105,0.9990234375
