words,sentiment_coeff
we,1.1201782606251962
enjoyed,1.084767769501808
our,1.1064550996056197
stay,1.1320255881955743
very,1.1224804755865625
much,1.1056054735963876
the,1.1400559124327372
room,1.1107517628517927
was,1.1344987307253256
comfortable,1.116327331483889
neat,1.0839483512710522
and,1.1416519440381814
clean,1.1146401527370124
there,1.1202438384247788
were,1.1145901383786365
no_problems,1.0560288466001313
at,1.1089837435220398
all,1.1195948324315141
host,1.1041870180123983
family,1.0963798479077478
helpful,1.0937866016224267
caring,1.0608613159110483
they,1.0932226118472739
helped_us,1.0387040786675783
planning,1.0583149806717311
trips,1.0393016729910498
or,1.081344744470823
recommended,1.0705325016989555
sights,1.048661350096001
house,1.1029298728360577
is,1.12339029168556
situated,1.0463855572047478
in,1.1213653275299849
a,1.1037185986733946
calm_neighbourhood,0.9928376388988092
close,1.069889470785226
luas,0.9913440288167402
different,1.0817256930086727
bus_lines,1.0054188591873447
are,1.1039151969492016
no,1.070246553082348
negative_aspects,-1.0643464430836145
to,1.12061833853691
mention,1.0840782268722824
it,1.1438177349606218
satisfying,1.100283475104671
i,1.127991294428024
would,1.123728359459711
recommend,1.0869290839391537
again,1.0838617259261512
whenever,1.042829211332826
am,1.036862822033669
dublin,1.0383427115176809
have_been,1.083005714919222
here,1.1146785724372559
4_nights,1.0504285288290616
home,1.1040828085959842
best,1.0855120693760787
way,1.0779501661193995
improve,1.0847271303929311
your,1.0942567271235013
english,1.0299645102129857
lovely,1.113858958050641
place,1.1361452194323363
kind,1.0866937353927568
hosts,1.08850322962863
!,1.0661856712774354
plan,1.04138215960171
days,1.0727263875908573
optimize,-1.2132985606060989
time,1.1041548340257046
reccomend,1.035936874120451
you,1.0956251749567893
this,1.140888674997
cottage,1.0415089555121937
teresa,0.9857628412189359
great,1.1261576531141293
person,1.0783954735094625
hughie,1.0119155004277767
welcoming,1.0912129288826948
us,1.081125323726271
children,1.0772698586770593
comfotable,1.046791746128668
able,1.0631739162109064
use,1.0924649652386247
kitchen,1.089206051311247
which,1.1117843150667557
since,1.0937030402226007
had,1.1144013824761136
warm,1.100071750337005
sunny,1.0471426713930005
with,1.1285590601173354
views,1.0627688800467345
garden,1.0711829942411197
have,1.121828873853361
wifi,1.0453447094570896
providing_info,1.0282344172905447
bus,0.9813552474411221
city,1.0752248549307024
passes,1.0071117088905
door,1.0668909821535406
plus,1.0095884352986206
tram,0.9807431634258692
good,1.102938197599655
shops,1.044062179812526
pubs,1.0091229131773078
cinema,1.0117402130259168
library,1.0335355017727388
