,n_estimators,colsample_bytree,max_depth,gamma,reg_lambda,subsample,MSE,MAE,R2
0,100.0,0.1,3.0,0.0,0.0,0.5,0.159074558736156,0.29624792142418815,0.6350254198911269
1,100.0,0.1,3.0,0.0,0.0,0.7,0.14833437552714782,0.2866442953652137,0.6600468453466183
2,100.0,0.1,3.0,0.0,0.0,0.9,0.14943531492330503,0.2875235753413611,0.6574229231670292
3,100.0,0.1,3.0,0.0,1.0,0.5,0.15516156654827346,0.2937561491461495,0.6442445053542329
4,100.0,0.1,3.0,0.0,1.0,0.7,0.15080519340661036,0.2891172714883691,0.6543448221195515
5,100.0,0.1,3.0,0.0,1.0,0.9,0.14929997206454004,0.2873062313144473,0.6578816773054582
6,100.0,0.1,3.0,0.0,10.0,0.5,0.14949172972893213,0.28832086493848486,0.657139710898365
7,100.0,0.1,3.0,0.0,10.0,0.7,0.14832377750047063,0.2866471670992846,0.6600070444790642
8,100.0,0.1,3.0,0.0,10.0,0.9,0.14345091420040074,0.2804152153909314,0.6712102727979671
9,100.0,0.1,3.0,1.0,0.0,0.5,0.15505354939585936,0.2934927729794027,0.6443691775834636
10,100.0,0.1,3.0,1.0,0.0,0.7,0.1485153210953098,0.28747475349859974,0.6596004518594961
11,100.0,0.1,3.0,1.0,0.0,0.9,0.14977003240495085,0.28820834628220354,0.6566941946166975
12,100.0,0.1,3.0,1.0,1.0,0.5,0.15249498857982757,0.291232106225396,0.6502252238006271
13,100.0,0.1,3.0,1.0,1.0,0.7,0.14953520118399327,0.28870206839506796,0.6572683546621334
14,100.0,0.1,3.0,1.0,1.0,0.9,0.14633954470300728,0.2858306394434683,0.6645611859414075
15,100.0,0.1,3.0,1.0,10.0,0.5,0.14879126940287968,0.28618068121041174,0.6588276967907161
16,100.0,0.1,3.0,1.0,10.0,0.7,0.14811339453759367,0.285434308617606,0.6605383545688828
17,100.0,0.1,3.0,1.0,10.0,0.9,0.1452649886351224,0.28275545698560156,0.667076429487395
18,100.0,0.1,3.0,10.0,0.0,0.5,0.18184791072811785,0.3239837508372664,0.5830924971189279
19,100.0,0.1,3.0,10.0,0.0,0.7,0.17773194104270368,0.3198007164533592,0.5925209234176191
20,100.0,0.1,3.0,10.0,0.0,0.9,0.17852451686081441,0.3202259575728489,0.5906585570553856
21,100.0,0.1,3.0,10.0,1.0,0.5,0.18265592015061424,0.3233700149861342,0.5810826644001763
22,100.0,0.1,3.0,10.0,1.0,0.7,0.1784787306128889,0.32034844014707986,0.5908004996457292
23,100.0,0.1,3.0,10.0,1.0,0.9,0.1772188273451128,0.31913911253381966,0.5936588711167853
24,100.0,0.1,3.0,10.0,10.0,0.5,0.1881386065202925,0.3256831443604299,0.5683780239365472
